Rodando o Problema da Mochila com Hill Climbing
 
================ Hill Climbing ================
Execução 1 com Entrada_1.txt:
Hill Climbing, Execução 4: Valor = 380, Peso Total = 364, Tempo = 3e-06s
Hill Climbing, Execução 5: Valor = 268, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 6: Valor = 322, Peso Total = 376, Tempo = 2e-06s
Hill Climbing, Execução 7: Valor = 313, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 8: Valor = 215, Peso Total = 370, Tempo = 2e-06s
Hill Climbing, Execução 9: Valor = 254, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 10: Valor = 271, Peso Total = 377, Tempo = 2e-06s
 
Execução 3 com Entrada_1.txt:
Heurística Aleatória (Embaralhar e Preencher), Execução 1: Valor = 344, Peso Total = 333, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 2: Valor = 309, Peso Total = 359, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 3: Valor = 211, Peso Total = 348, Tempo = 1e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 4: Valor = 292, Peso Total = 359, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 5: Valor = 286, Peso Total = 366, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 1: Valor = 267, Peso Total = 379, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 2: Valor = 423, Peso Total = 375, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 3: Valor = 335, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 4: Valor = 227, Peso Total = 378, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 5: Valor = 310, Peso Total = 379, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 6: Valor = 207, Peso Total = 376, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 7: Valor = 279, Peso Total = 375, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 8: Valor = 357, Peso Total = 368, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 9: Valor = 183, Peso Total = 360, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 10: Valor = 282, Peso Total = 376, Tempo = 2e-06s
Busca Local (Substituição de Objeto), Execução 1: Valor = 398, Peso Total = 379, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 2: Valor = 380, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 3: Valor = 321, Peso Total = 359, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 4: Valor = 297, Peso Total = 378, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 5: Valor = 365, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 6: Valor = 223, Peso Total = 380, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 7: Valor = 198, Peso Total = 369, Tempo = 7e-06s
Busca Local (Substituição de Objeto), Execução 8: Valor = 297, Peso Total = 368, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 9: Valor = 287, Peso Total = 374, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 10: Valor = 229, Peso Total = 379, Tempo = 8e-06s
Hill Climbing, Execução 1: Valor = 260, Peso Total = 365, Tempo = 2e-06s
Hill Climbing, Execução 2: Valor = 321, Peso Total = 379, Tempo = 2e-06s
Hill Climbing, Execução 3: Valor = 208, Peso Total = 362, Tempo = 2e-06s
Hill Climbing, Execução 4: Valor = 380, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 5: Valor = 268, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 6: Valor = 322, Peso Total = 376, Tempo = 2e-06s
Hill Climbing, Execução 7: Valor = 313, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 8: Valor = 215, Peso Total = 370, Tempo = 3e-06s
Hill Climbing, Execução 9: Valor = 254, Peso Total = 368, Tempo = 1e-06s
Hill Climbing, Execução 10: Valor = 271, Peso Total = 377, Tempo = 3e-06s
 
Execução 4 com Entrada_1.txt:
Heurística Aleatória (Embaralhar e Preencher), Execução 1: Valor = 344, Peso Total = 333, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 2: Valor = 309, Peso Total = 359, Tempo = 8e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 3: Valor = 211, Peso Total = 348, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 4: Valor = 292, Peso Total = 359, Tempo = 1e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 5: Valor = 286, Peso Total = 366, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 1: Valor = 267, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 2: Valor = 423, Peso Total = 375, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 3: Valor = 335, Peso Total = 379, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 4: Valor = 227, Peso Total = 378, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 5: Valor = 310, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 6: Valor = 207, Peso Total = 376, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 7: Valor = 279, Peso Total = 375, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 8: Valor = 357, Peso Total = 368, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 9: Valor = 183, Peso Total = 360, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 10: Valor = 282, Peso Total = 376, Tempo = 1e-06s
Busca Local (Substituição de Objeto), Execução 1: Valor = 398, Peso Total = 379, Tempo = 9e-06s
Busca Local (Substituição de Objeto), Execução 2: Valor = 380, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 3: Valor = 321, Peso Total = 359, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 4: Valor = 297, Peso Total = 378, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 5: Valor = 365, Peso Total = 369, Tempo = 7e-06s
Busca Local (Substituição de Objeto), Execução 6: Valor = 223, Peso Total = 380, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 7: Valor = 198, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 8: Valor = 297, Peso Total = 368, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 9: Valor = 287, Peso Total = 374, Tempo = 7e-06s
Busca Local (Substituição de Objeto), Execução 10: Valor = 229, Peso Total = 379, Tempo = 8e-06s
Hill Climbing, Execução 1: Valor = 260, Peso Total = 365, Tempo = 2e-06s
Hill Climbing, Execução 2: Valor = 321, Peso Total = 379, Tempo = 2e-06s
Hill Climbing, Execução 3: Valor = 208, Peso Total = 362, Tempo = 2e-06s
Hill Climbing, Execução 4: Valor = 380, Peso Total = 364, Tempo = 3e-06s
Hill Climbing, Execução 5: Valor = 268, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 6: Valor = 322, Peso Total = 376, Tempo = 2e-06s
Hill Climbing, Execução 7: Valor = 313, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 8: Valor = 215, Peso Total = 370, Tempo = 2e-06s
Hill Climbing, Execução 9: Valor = 254, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 10: Valor = 271, Peso Total = 377, Tempo = 2e-06s
 
Execução 5 com Entrada_1.txt:
Heurística Aleatória (Embaralhar e Preencher), Execução 1: Valor = 344, Peso Total = 333, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 2: Valor = 309, Peso Total = 359, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 3: Valor = 211, Peso Total = 348, Tempo = 1e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 4: Valor = 292, Peso Total = 359, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 5: Valor = 286, Peso Total = 366, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 1: Valor = 267, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 2: Valor = 423, Peso Total = 375, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 3: Valor = 335, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 4: Valor = 227, Peso Total = 378, Tempo = 3e-06s
Busca Local (Mochila Cheia), Execução 5: Valor = 310, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 6: Valor = 207, Peso Total = 376, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 7: Valor = 279, Peso Total = 375, Tempo = 3e-06s
Busca Local (Mochila Cheia), Execução 8: Valor = 357, Peso Total = 368, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 9: Valor = 183, Peso Total = 360, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 10: Valor = 282, Peso Total = 376, Tempo = 1e-06s
Busca Local (Substituição de Objeto), Execução 1: Valor = 398, Peso Total = 379, Tempo = 9e-06s
Busca Local (Substituição de Objeto), Execução 2: Valor = 380, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 3: Valor = 321, Peso Total = 359, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 4: Valor = 297, Peso Total = 378, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 5: Valor = 365, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 6: Valor = 223, Peso Total = 380, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 7: Valor = 198, Peso Total = 369, Tempo = 7e-06s
Busca Local (Substituição de Objeto), Execução 8: Valor = 297, Peso Total = 368, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 9: Valor = 287, Peso Total = 374, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 10: Valor = 229, Peso Total = 379, Tempo = 8e-06s
Hill Climbing, Execução 1: Valor = 260, Peso Total = 365, Tempo = 2e-06s
Hill Climbing, Execução 2: Valor = 321, Peso Total = 379, Tempo = 2e-06s
Hill Climbing, Execução 3: Valor = 208, Peso Total = 362, Tempo = 2e-06s
Hill Climbing, Execução 4: Valor = 380, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 5: Valor = 268, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 6: Valor = 322, Peso Total = 376, Tempo = 2e-06s
Hill Climbing, Execução 7: Valor = 313, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 8: Valor = 215, Peso Total = 370, Tempo = 2e-06s
Hill Climbing, Execução 9: Valor = 254, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 10: Valor = 271, Peso Total = 377, Tempo = 3e-06s
 
Execução 6 com Entrada_1.txt:
Heurística Aleatória (Embaralhar e Preencher), Execução 1: Valor = 344, Peso Total = 333, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 2: Valor = 309, Peso Total = 359, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 3: Valor = 211, Peso Total = 348, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 4: Valor = 292, Peso Total = 359, Tempo = 1e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 5: Valor = 286, Peso Total = 366, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 1: Valor = 267, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 2: Valor = 423, Peso Total = 375, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 3: Valor = 335, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 4: Valor = 227, Peso Total = 378, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 5: Valor = 310, Peso Total = 379, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 6: Valor = 207, Peso Total = 376, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 7: Valor = 279, Peso Total = 375, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 8: Valor = 357, Peso Total = 368, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 9: Valor = 183, Peso Total = 360, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 10: Valor = 282, Peso Total = 376, Tempo = 2e-06s
Busca Local (Substituição de Objeto), Execução 1: Valor = 398, Peso Total = 379, Tempo = 9e-06s
Busca Local (Substituição de Objeto), Execução 2: Valor = 380, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 3: Valor = 321, Peso Total = 359, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 4: Valor = 297, Peso Total = 378, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 5: Valor = 365, Peso Total = 369, Tempo = 7e-06s
Busca Local (Substituição de Objeto), Execução 6: Valor = 223, Peso Total = 380, Tempo = 9e-06s
Busca Local (Substituição de Objeto), Execução 7: Valor = 198, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 8: Valor = 297, Peso Total = 368, Tempo = 7e-06s
Busca Local (Substituição de Objeto), Execução 9: Valor = 287, Peso Total = 374, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 10: Valor = 229, Peso Total = 379, Tempo = 8e-06s
Hill Climbing, Execução 1: Valor = 260, Peso Total = 365, Tempo = 2e-06s
Hill Climbing, Execução 2: Valor = 321, Peso Total = 379, Tempo = 2e-06s
Hill Climbing, Execução 3: Valor = 208, Peso Total = 362, Tempo = 2e-06s
Hill Climbing, Execução 4: Valor = 380, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 5: Valor = 268, Peso Total = 368, Tempo = 3e-06s
Hill Climbing, Execução 6: Valor = 322, Peso Total = 376, Tempo = 2e-06s
Hill Climbing, Execução 7: Valor = 313, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 8: Valor = 215, Peso Total = 370, Tempo = 2e-06s
Hill Climbing, Execução 9: Valor = 254, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 10: Valor = 271, Peso Total = 377, Tempo = 2e-06s
 
Execução 7 com Entrada_1.txt:
Heurística Aleatória (Embaralhar e Preencher), Execução 1: Valor = 344, Peso Total = 333, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 2: Valor = 309, Peso Total = 359, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 3: Valor = 211, Peso Total = 348, Tempo = 1e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 4: Valor = 292, Peso Total = 359, Tempo = 1e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 5: Valor = 286, Peso Total = 366, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 1: Valor = 267, Peso Total = 379, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 2: Valor = 423, Peso Total = 375, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 3: Valor = 335, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 4: Valor = 227, Peso Total = 378, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 5: Valor = 310, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 6: Valor = 207, Peso Total = 376, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 7: Valor = 279, Peso Total = 375, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 8: Valor = 357, Peso Total = 368, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 9: Valor = 183, Peso Total = 360, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 10: Valor = 282, Peso Total = 376, Tempo = 2e-06s
Busca Local (Substituição de Objeto), Execução 1: Valor = 398, Peso Total = 379, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 2: Valor = 380, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 3: Valor = 321, Peso Total = 359, Tempo = 7e-06s
Busca Local (Substituição de Objeto), Execução 4: Valor = 297, Peso Total = 378, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 5: Valor = 365, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 6: Valor = 223, Peso Total = 380, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 7: Valor = 198, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 8: Valor = 297, Peso Total = 368, Tempo = 7e-06s
Busca Local (Substituição de Objeto), Execução 9: Valor = 287, Peso Total = 374, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 10: Valor = 229, Peso Total = 379, Tempo = 8e-06s
Hill Climbing, Execução 1: Valor = 260, Peso Total = 365, Tempo = 2e-06s
Hill Climbing, Execução 2: Valor = 321, Peso Total = 379, Tempo = 2e-06s
Hill Climbing, Execução 3: Valor = 208, Peso Total = 362, Tempo = 2e-06s
Hill Climbing, Execução 4: Valor = 380, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 5: Valor = 268, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 6: Valor = 322, Peso Total = 376, Tempo = 2e-06s
Hill Climbing, Execução 7: Valor = 313, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 8: Valor = 215, Peso Total = 370, Tempo = 3e-06s
Hill Climbing, Execução 9: Valor = 254, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 10: Valor = 271, Peso Total = 377, Tempo = 3e-06s
 
Execução 8 com Entrada_1.txt:
Heurística Aleatória (Embaralhar e Preencher), Execução 1: Valor = 344, Peso Total = 333, Tempo = 3e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 2: Valor = 309, Peso Total = 359, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 3: Valor = 211, Peso Total = 348, Tempo = 1e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 4: Valor = 292, Peso Total = 359, Tempo = 1e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 5: Valor = 286, Peso Total = 366, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 1: Valor = 267, Peso Total = 379, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 2: Valor = 423, Peso Total = 375, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 3: Valor = 335, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 4: Valor = 227, Peso Total = 378, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 5: Valor = 310, Peso Total = 379, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 6: Valor = 207, Peso Total = 376, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 7: Valor = 279, Peso Total = 375, Tempo = 4e-06s
Busca Local (Mochila Cheia), Execução 8: Valor = 357, Peso Total = 368, Tempo = 1e-06s
Busca Local (Mochila Cheia), Execução 9: Valor = 183, Peso Total = 360, Tempo = 2e-06s
Busca Local (Mochila Cheia), Execução 10: Valor = 282, Peso Total = 376, Tempo = 1e-06s
Busca Local (Substituição de Objeto), Execução 1: Valor = 398, Peso Total = 379, Tempo = 9e-06s
Busca Local (Substituição de Objeto), Execução 2: Valor = 380, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 3: Valor = 321, Peso Total = 359, Tempo = 1.1e-05s
Busca Local (Substituição de Objeto), Execução 4: Valor = 297, Peso Total = 378, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 5: Valor = 365, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 6: Valor = 223, Peso Total = 380, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 7: Valor = 198, Peso Total = 369, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 8: Valor = 297, Peso Total = 368, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 9: Valor = 287, Peso Total = 374, Tempo = 8e-06s
Busca Local (Substituição de Objeto), Execução 10: Valor = 229, Peso Total = 379, Tempo = 7e-06s
Hill Climbing, Execução 1: Valor = 260, Peso Total = 365, Tempo = 2e-06s
Hill Climbing, Execução 2: Valor = 321, Peso Total = 379, Tempo = 2e-06s
Hill Climbing, Execução 3: Valor = 208, Peso Total = 362, Tempo = 2e-06s
Hill Climbing, Execução 4: Valor = 380, Peso Total = 364, Tempo = 3e-06s
Hill Climbing, Execução 5: Valor = 268, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 6: Valor = 322, Peso Total = 376, Tempo = 2e-06s
Hill Climbing, Execução 7: Valor = 313, Peso Total = 364, Tempo = 2e-06s
Hill Climbing, Execução 8: Valor = 215, Peso Total = 370, Tempo = 2e-06s
Hill Climbing, Execução 9: Valor = 254, Peso Total = 368, Tempo = 2e-06s
Hill Climbing, Execução 10: Valor = 271, Peso Total = 377, Tempo = 2e-06s
 
Execução 9 com Entrada_1.txt:
Heurística Aleatória (Embaralhar e Preencher), Execução 1: Valor = 344, Peso Total = 333, Tempo = 2e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 2: Valor = 309, Peso Total = 359, Tempo = 1e-06s
Heurística Aleatória (Embaralhar e Preencher), Execução 3: Valor = 211, Peso Total = 348, Tempo = 2e-06s
